3.780000000000000027e-01,2.299999999999999961e-02,2.225417266187050200e-02,4.129640287769783982e-04
5.350000000000000311e-01,1.200000000000000025e-02,2.083174100719424604e-02,1.835395683453237446e-04
5.140000000000000124e-01,4.900000000000000189e-02,2.468607194244604522e-02,8.259280575539567964e-04
4.390000000000000013e-01,5.000000000000000278e-02,1.679387050359712474e-02,9.176978417266187229e-05
5.620000000000000551e-01,1.400000000000000029e-02,1.697741007194244686e-02,2.753093525179856169e-04
7.810000000000000275e-01,1.299999999999999940e-02,1.069117985611510793e-02,7.341582733812949783e-05
8.399999999999999689e-01,5.000000000000000278e-02,1.073706474820143933e-02,7.341582733812949783e-04
1.052999999999999936e+00,2.800000000000000058e-02,7.400000000000000328e-03,5.999999999999999474e-04
4.799999999999999822e-01,2.000000000000000042e-02,1.239999999999999956e-02,5.000000000000000104e-04
5.000000000000000000e-01,5.000000000000000278e-02,1.149999999999999981e-02,1.199999999999999895e-03
