0.65, 0.03, 0.0137
0.68, 0.04, 0.0123
0.79, 0.05, 0.0129
0.61, 0.04, 0.0137
0.56, 0.03, 0.0137
1.05, 0.08, 0.0076
0.64, 0.03, 0.0127
0.55, 0.03, 0.0133
0.60, 0.04, 0.0132
1.31, 0.07, 0.0046
0.60, 0.04, 0.0133
0.62, 0.03, 0.0135
0.54, 0.05, 0.0147
0.63, 0.03, 0.0136
0.65, 0.03, 0.0126
0.74, 0.04, 0.0137
0.60, 0.03, 0.0133
0.61, 0.15, 0.0116
0.47, 0.06, 0.0204
0.72, 0.04, 0.0123
0.82, 0.05, 0.0125
0.78, 0.06, 0.0140
0.59, 0.11, 0.0200
0.69, 0.04, 0.0123
0.56, 0.04, 0.0143
0.67, 0.05, 0.0132
0.64, 0.05, 0.0133
0.66, 0.03, 0.0100
0.68, 0.03, 0.0104
0.58, 0.07, 0.0127
0.77, 0.12, 0.0160
0.60, 0.05, 0.0137
0.68, 0.05, 0.0126
0.91, 0.05, 0.0107
0.59, 0.03, 0.0125
0.68, 0.11, 0.0136
0.65, 0.03, 0.0121
0.57, 0.04, 0.0125
0.58, 0.07, 0.0146
0.66, 0.08, 0.0126
0.62, 0.06, 0.0131
0.78, 0.18, 0.0141
0.57, 0.02, 0.0136
2.48, 0.13, 0.0127
0.63, 0.04, 0.0129
0.55, 0.07, 0.0125
0.50, 0.04, 0.0143
0.65, 0.02, 0.0129
0.62, 0.03, 0.0129
0.59, 0.04, 0.0148
0.62, 0.05, 0.0130
0.55, 0.11, 0.0129
